রপ্তানি	﻿রপ্তানি
দাম	দাম
পড়িয়া	পড়িয়া
যায়	যায়
এবং	এবং
চাষীদেরও	চাষীদেরও
আশানুরূপ	আশানুরূপ
আয়	আয়
হয়	হয়
না	না

কথাগুলোর	কথাগুলোর
রেশ	রেশ
না	না
মিলাতে	মিলাতে
মিলাতে	মিলাতে
শ্লেষাত্মক	শ্লেষাত্মক
ভঙ্গিতে	ভঙ্গিতে
নাকিসুরে	নাকিসুরে
বলেছিলেন	বলেছিলেন
সেজন্যই	সেজন্যই
বড়	বড়
করে	করে
করবার	করবার
অনুমতি	অনুমতি
পেলাম	পেলাম
না	না

কৃষি	কৃষি
ব্যাঙ্ক	ব্যাঙ্ক

কৃষকদিগকে	কৃষকদিগকে
স্বল্প	স্বল্প
সুদে	সুদে
ঋণ	ঋণ
সরবরাহ	সরবরাহ
করা	করা
এই	এই
ব্যাঙ্কের	ব্যাঙ্কের
প্রধান	প্রধান
কাজ	কাজ

পঞ্চাশ	পঞ্চাশ
পেরিয়ে	পেরিয়ে
গেছেন	গেছেন
রক্তের	রক্তের
তেজ	তেজ
কমে	কমে
গেছে	গেছে
নাক	নাক
আর	আর
আগের	আগের
মত	মত
কুঁচকে	কুঁচকে
যায়	যায়
না	না
সভাসমিতির	সভাসমিতির
নামে	নামে

আগামী	আগামী
মাসে	মাসে
পশ্চিমবাংলার	পশ্চিমবাংলার
দু'জায়গায়	দু'জায়গায়
উপনির্বাচন	উপনির্বাচন
হতে	হতে
যাচ্ছে	যাচ্ছে

এই	এই
মুহুর্তে	মুহুর্তে
বাংলা	বাংলা
ভাষা	ভাষা
নিজেই	নিজেই
এমন	এমন
স্বতন্ত্র	স্বতন্ত্র
ও	ও
সমৃদ্ধ	সমৃদ্ধ
যে	যে
তা	তা
শিখতে	শিখতে
গেলে	গেলে
অন্য	অন্য
কোন	কোন
ভাষা	ভাষা
শেখার	শেখার
দরকার	দরকার
নেই	নেই

আপনার	আপনার
আজীবনের	আজীবনের
সঙ্গী	সঙ্গী

যুগে	যুগে
যুগে	যুগে
যে	যে
সকল	সকল
মনীষী	মনীষী
মানুষকে	মানুষকে
ভালবেসে	ভালবেসে
মানুষের	মানুষের
মধ্যে	মধ্যে
প্রচার	প্রচার
করেছেন	করেছেন
প্রেমধর্মের	প্রেমধর্মের
মূলমন্ত্র	মূলমন্ত্র
সেই	সেই
মানুষেরই	মানুষেরই
হিংস্র	হিংস্র
নখরাঘাতে	নখরাঘাতে
তাঁদের	তাঁদের
জীবনের	জীবনের
ঘটেছে	ঘটেছে
পরিসমাপ্তি	পরিসমাপ্তি

ভক্তের	ভক্তের
বর্ণনায়	বর্ণনায়
অতিরঞ্জন	অতিরঞ্জন
অতিকথন	অতিকথন
প্রভৃতি	প্রভৃতি
থাকা	থাকা
কিছু	কিছু
অস্বাভাবিক	অস্বাভাবিক
নয়	নয়
কিন্তু	কিন্তু
অনাবশ্যকভাবে	অনাবশ্যকভাবে
মিথ্যা	মিথ্যা
ঘটনা	ঘটনা
বা	বা
সংশয়জনক	সংশয়জনক
দিনক্ষণের	দিনক্ষণের
উল্লেখ	উল্লেখ
থাকবে	থাকবে
কেন	কেন

বোটানিতে	বোটানিতে
এম	এম
এস	এস
সি	সি
পড়তে	পড়তে
পড়তে	পড়তে
এদিকে	এদিকে
ঝোঁক	ঝোঁক
চাপে	চাপে

যুক্তিবাক্য	যুক্তিবাক্য
যেহেতু	যেহেতু
সামান্য	সামান্য
সেইহেতু	সেইহেতু
এদের	এদের
কোন	কোন
অস্তিত্বমূল	অস্তিত্বমূল
তাত্পর্য্য	তাত্পর্য্য
নেই	নেই

ভাবলাম	ভাবলাম
আপনার	আপনার
থেকে	থেকে
জেনে	জেনে
আসি	আসি
ঈশ্বরের	ঈশ্বরের
কোন	কোন
গতি	গতি
হলো	হলো
কিনা	কিনা

নির্মাণের	নির্মাণের
কাজ	কাজ
চলছে	চলছে
মন্থর	মন্থর
গতিতে	গতিতে

পরিবর্তন	পরিবর্তন
প্রতিভূ	প্রতিভূ
যুক্তিতর্ক	যুক্তিতর্ক
তথ্য	তথ্য
ও	ও
প্রমাণ	প্রমাণ
দিয়ে	দিয়ে
যে	যে
কোন	কোন
ব্যক্তির	ব্যক্তির
প্রচলিত	প্রচলিত
ধারণ	ধারণ
বদলাবার	বদলাবার
চেষ্টা	চেষ্টা
করেন	করেন
এখানে	এখানে
পরিবর্তনকামী	পরিবর্তনকামী
অত্যন্ত	অত্যন্ত
সুকৌশলী	সুকৌশলী

আমার	আমার
সামনে	সামনে
এখন	এখন
আর	আর
একটিমাত্র	একটিমাত্র
লক্ষ্য	লক্ষ্য
আছে	আছে

তদন্তের	তদন্তের
ভার	ভার
পাওয়ার	পাওয়ার
আগেই	আগেই
ললিত	ললিত
বর্মা	বর্মা
একবার	একবার
বিঠুরে	বিঠুরে
ঘুরে	ঘুরে
গিয়েছিলেন	গিয়েছিলেন

তখন	তখন
দেখি	দেখি
পুতলি	পুতলি
পথের	পথের
মাঝে	মাঝে
থমকে	থমকে
দাঁড়িয়ে	দাঁড়িয়ে
আছে	আছে

টেবিল	টেবিল
অনুনাদী	অনুনাদী
বস্তুর	বস্তুর
কাজ	কাজ
করে	করে

বাবার	বাবার
শেষকৃত্য	শেষকৃত্য
সম্পন্ন	সম্পন্ন
করেই	করেই
সীমা	সীমা
ফিরে	ফিরে
এসেছিল	এসেছিল
কলকাতায়	কলকাতায়

রিচার্ডসের	রিচার্ডসের
তাই	তাই
মন	মন
খারাপ	খারাপ
হয়ে	হয়ে
গেছে	গেছে

মূল্য	মূল্য
উহা	উহা
অপেক্ষা	অপেক্ষা
অধিক	অধিক
হইলে	হইলে
পণ্য	পণ্য
আদৌ	আদৌ
বিক্রয়	বিক্রয়
হইবে	হইবে
না	না

উপস্থিত	উপস্থিত
শ্রোতারা	শ্রোতারা
বুঝতেই	বুঝতেই
পারেননি	পারেননি
তখন	তখন
দু	দু
ঘণ্টা	ঘণ্টা
সময়	সময়
অতিবাহিত	অতিবাহিত
হয়ে	হয়ে
গেছে	গেছে

প্রদর্শনী	প্রদর্শনী
খেলা	খেলা
দুটি	দুটি
ব্যাডমিণ্টন	ব্যাডমিণ্টন
ও	ও
বোলিং	বোলিং

সাধারণত	সাধারণত
নেতাজী	নেতাজী
ডিনারটা	ডিনারটা
আনন্দ	আনন্দ
করে	করে
খেতেন	খেতেন

কথায়	কথায়
কথায়	কথায়
একসময়	একসময়
তিনি	তিনি
পত্নীকে	পত্নীকে
প্রশ্ন	প্রশ্ন
করলেন	করলেন
আরতির	আরতির
সময়	সময়
তোমার	তোমার
পাশে	পাশে
দাঁড়িয়ে	দাঁড়িয়ে
কে	কে
দেবীকে	দেবীকে
চামর	চামর
করছিলেন	করছিলেন

আয়নাটির	আয়নাটির
নাম	নাম
ভালবাসা	ভালবাসা

সুতরাং	সুতরাং
বিভিন্ন	বিভিন্ন
বর্ণের	বর্ণের
মিশ্রণে	মিশ্রণে
কোন	কোন
যৌগিক	যৌগিক
আলোকরশ্মি	আলোকরশ্মি
কোন	কোন
প্রতিসারক	প্রতিসারক
মাধ্যম	মাধ্যম
দ্বারা	দ্বারা
প্রতিসৃত	প্রতিসৃত
হইলে	হইলে
