রপ্তানি	﻿রপ্তান
উপনির্বাচন	উপনির্বাচ
হতে	হতে
যাচ্ছে	যাওয়া

এই	এই
মুহুর্তে	মুহুর্ত
বাংলা	বাংল
ভাষা	ভাষা
নিজেই	নিজ
এমন	এমন
স্বতন্ত্র	স্বতন্ত্র
ও	ও
সমৃদ্ধ	সমৃদ্ধ
যে	যে
তা	তা
শিখতে	শি
গেলে	ড়া
অন্য	অন্য
কোন	কোন
ভাষা	ভাষা
শেখার	শেখা
দরকার	দরকার
নেই	না

আপনার	আপনি
আজীবনের	আজীব
সঙ্গী	সঙ্গী

যুগে	যুগ
যুগে	যুগ
যে	যে
সকল	সকল
মনীষী	মনীষ
মানুষকে	মানুষ
ভালবেসে	ভালব
মানুষের	মানুষ
মধ্যে	মধ্যে
প্রচার	প্রচার
করেছেন	করা
প্রেমধর্মের	প্রেমধর্
মূলমন্ত্র	মূলমন্ত্
সেই	সেই
মানুষেরই	মানুষ
হিংস্র	হিংস্
নখরাঘাতে	নখরাঘ
তাঁদের	তিনি
জীবনের	জীবন
ঘটেছে	ঘটা
পরিসমাপ্তি	পরিসমাপ্ত

ভক্তের	ভক্
বর্ণনায়	বর্ণনা
অতিরঞ্জন	অতিরঞ্জ
অতিকথন	অতিকথ
প্রভৃতি	প্রভৃতি
থাকা	থাকা
কিছু	কিছু
অস্বাভাবিক	স্বাভাবিক
নয়	না
কিন্তু	কিন্তু
অনাবশ্যকভাবে	অনাবশ্যকভাব
মিথ্যা	মিথ্যা
ঘটনা	ঘটনা
বা	বা
সংশয়জনক	সংশয়জন
দিনক্ষণের	দিনক্ষ
উল্লেখ	উল্লেখ
থাকবে	থাকা
কেন	কেন

বোটানিতে	বোটান
এম	এ
এস	এস
সি	সি
পড়তে	পড়ত
পড়তে	পড়ত
এদিকে	এদিক
ঝোঁক	ঝোঁ
চাপে	চাপ

যুক্তিবাক্য	যুক্তিবাক্
যেহেতু	যে
সামান্য	সামান্য
সেইহেতু	সেইহ
এদের	এ
কোন	কোন
অস্তিত্বমূল	অস্তিত্বমূ
তাত্পর্য্য	তাত্পর্য্
নেই	না

ভাবলাম	ভাবলা
আপনার	আপনি
থেকে	থেকে
জেনে	জা
আসি	আস
ঈশ্বরের	ঈশ্ব
কোন	কোন
গতি	গতি
হলো	হলো
কিনা	কিনা

নির্মাণের	নির্মা
কাজ	কাজ
চলছে	চলা
মন্থর	মন্থ
গতিতে	গত

পরিবর্তন	পরিবর্তন
প্রতিভূ	প্রতিভ
যুক্তিতর্ক	যুক্তিতর্
তথ্য	তথ্য
ও	ও
প্রমাণ	প্রমাণ
দিয়ে	দেওয়া
যে	যে
কোন	কোন
ব্যক্তির	ব্যক্তি
প্রচলিত	্রচলিত
ধারণ	ধাি
বদলাবার	বদলাবা
চেষ্টা	চেষ্টা
করেন	করা
এখানে	এখান
পরিবর্তনকামী	পরিবর্তনকাম
অত্যন্ত	অত্যন্ত
সুকৌশলী	সুকৌশল

আমার	আমি
সামনে	সামনে
এখন	এখন
আর	আর
একটিমাত্র	অকটিমাত
লক্ষ্য	লক্ষ্য
আছে	আছে

তদন্তের	তদন্
ভার	ভার
পাওয়ার	পাওয়া
আগেই	আগ
ললিত	ললিত
বর্মা	বর্ম
একবার	একবার
বিঠুরে	বিঠ
ঘুরে	ঘোরা
গিয়েছিলেন	গিয়েছি

তখন	তখন
দেখি	দেখা
পুতলি	পুতল
পথের	পথ
মাঝে	মাঝে
থমকে	থমক
দাঁড়িয়ে	দাঁড়
আছে	আছে

টেবিল	টে
অনুনাদী	অনুনাদ
বস্তুর	বস্তু
কাজ	কাজ
করে	করা

বাবার	বাবা
শেষকৃত্য	শেষকৃত্
সম্পন্ন	সম্পন্ন
করেই	করা
সীমা	সীমা
ফিরে	ফিরে
এসেছিল	এা
কলকাতায়	কলকাতা

রিচার্ডসের	রিচার্ড
তাই	তা
মন	মন
খারাপ	খারাপ
হয়ে	হয়ে
গেছে	হও

মূল্য	মূল্য
উহা	উহ
অপেক্ষা	অপেক্ষা
অধিক	অধিক
হইলে	হওয়া
পণ্য	পণ্য
আদৌ	আদৌ
বিক্রয়	বিক্র
হইবে	হওয়া
না	না

উপস্থিত	উপস্থিত
শ্রোতারা	শ্রোতার
বুঝতেই	বুঝ
পারেননি	পারে
তখন	তখন
দু	দুই
ঘণ্টা	ঘণ্টা
সময়	সময়
অতিবাহিত	তিবাহিত
হয়ে	হয়ে
গেছে	হও

প্রদর্শনী	প্রদর্শনী
খেলা	খেলা
দুটি	দুই
ব্যাডমিণ্টন	ব্যাডমিণ্ট
ও	ও
বোলিং	বোলিং

সাধারণত	সাধারণ
নেতাজী	নেতাজ
ডিনারটা	ডিনারট
আনন্দ	আনন্দ
করে	করা
খেতেন	খে

কথায়	কথা
কথায়	কথা
একসময়	একসময়
তিনি	তিনি
পত্নীকে	পত্নীক
প্রশ্ন	প্রশ্ন
করলেন	করা
আরতির	আরতি
সময়	সময়
তোমার	তুমি
পাশে	পাশ
দাঁড়িয়ে	দাঁড়
কে	কে
দেবীকে	দেব
চামর	চাম
করছিলেন	করছি

আয়নাটির	আয়না
নাম	নাম
ভালবাসা	ভালবাস

সুতরাং	সুতরাং
বিভিন্ন	বিভিন্ন
বর্ণের	বর্
মিশ্রণে	মিশ্রণ
কোন	কোন
যৌগিক	যৌগি
আলোকরশ্মি	আলোকরশ্ম
কোন	কোন
প্রতিসারক	প্রতিসার
মাধ্যম	মাধ্য
দ্বারা	দ্বারা
প্রতিসৃত	প্রতিসৃ
হইলে	হওয়া
উহা	উহ
বিভিন্ন	বিভিন্ন
বর্ণে	বর্ণ
বিভক্ত	বিভক্ত
হইয়া	হওয়া
পড়িবে	পড়িব

যা	যা
বেরিয়ে	া
যা	যা

বিংশ	বিং
শতাব্দীর	শতাব্দী
বিশের	বি
দশকে	দশক
উচ্চ	উচ্চ
বিভব	বিভব
সম্পন্ন	সম্পন্ন
প্রতি	প্রতি
প্রভব	প্রভব
বাতি	বাতি
ব্যবহার	ব্যবহার
হত	হওয়া

এমন	এমন
কি	কি
কোন	কোন
উত্তেজনাপূর্ণ	উত্তেজনাপূর্
মুহূর্তকেও	মুহূর্ত
ধরে	ধরা
রাখতে	রাখা
পারেন	পারা

স্ত্রী	স্ত্রী
শিক্ষার	শিক্ষা
বিষয়েও	বিষ
এই	এই
পত্রিকায়	পত্রিকা
নির্লজ্জ	নির্লজ্
রক্ষণশীলতা	রক্ষণশীলত
প্রকাশ	প্রকাশ
পেতো	পেত

রাজ্য	রাজ্য
শাখার	শাখা
এক	এক
বিবৃতিতে	বিবৃত
বলা	বলা
হয়েছে	হওয়া
সি	সি
পি	পি
আই	আই
এম	এ
দেশের	দেশ
একটি	এক
স্বীকৃত	স্বীকৃ
রাজনৈতিক	রািনি
দল	দল

আজ	আজ
শিরুয়া	শিরুয়
কাল	কাল
ছিল	থাকা
বিষুয়া	বিষুয়

তিনি	তিনি
এ	এ
সবের	সব
বিন্দু	বিন্দ
বিসর্গও	বিসর্গ
জানেন	জানা
না	না

কিছু	কিছু
দুর্বোধ্যতা	দুর্বোধ্যত
আছে	আছে
ডালিমের	ডালি
স্বভাবে	স্বভাব
অনেকটা	অনেক
উদাসীনতা	উদাসীনত
অনেকটা	অনেক
স্বার্থপরতা	স্বার্থপরত
সুযোগ	সুযোগ
বিশেষে	বিশ
নির্দয়তা	নির্দয়ত
আর	আর
মানুষের	মানুষ
প্রতি	প্রতি
অগাধ	অগাধ
বিশ্বাস	বিশ্বাস
নিয়ে	নেওয়া
গড়ে	গড়
উঠেছে	ওঠা
তার	তার
চরিত্র	চরিত্র

চিত্র	চিত্
নং	ন
গোল	গোল
চোখ	চোখ
ওপরে	ওপর
মোটা	মোটা
করে	করা
আইলাইনার	আইলাইনা
লাগানো	লাগানো

স্রষ্টার	স্রষ্টা
কল্পনায়	কল্পনা
যা	যা
থাকে	থাকা
তার	তার
রূপায়ণের	রূপায়
দায়িত্ব	দায়িত্ব
তো	তো
শিল্পীর	শিল্পী
অর্থাত্	অর্থাত
প্রোডাকশন'এর	প্রোডাকশন
ওপরেই	ওপ
নির্ভর	নির্ভর
করছে	করা
স্রষ্টার	স্রষ্টা
